anno,latitudine,longitudin,public_pos,geoprivacy,coordinate
29/06/2021,43.025211558199999,13.476825278900000,"8130",,"0"
08/07/2021,43.782291666699997,10.269295000000000,"6",,"0"
09/07/2021,44.326565419200001,11.183749123500000,"335",,"0"
10/07/2021,45.988590000000002,8.410325000000000,"9",,"0"
10/07/2021,45.988630000000001,8.410241666699999,"7",,"0"
09/07/2021,42.987245000000001,13.390491666699999,"56",,"0"
11/07/2021,42.814166666699997,10.402222222200001,,,"0"
13/07/2021,46.055711000000002,10.962678972200001,,,"0"
12/07/2021,45.536388500400001,11.547108977900001,"61",,"0"
16/06/2021,43.939297840700000,10.184154077300001,"87",,"0"
15/07/2021,43.789777125299999,11.204665638500000,"6",,"0"
18/07/2021,42.787186225100001,10.183742791400000,"13",,"0"
07/07/2021,41.943593392499999,12.652063071700001,"775",,"0"
19/07/2021,45.175086666699997,7.579616666700000,"24",,"0"
26/07/2021,41.337096400000000,12.980077400000001,"2500",,"0"
28/07/2021,46.498653497500001,11.372610880200000,"7",,"0"
15/07/2021,40.856082916100000,15.335315704199999,,,"0"
03/08/2021,43.531656406400003,10.309778116600000,"157",,"0"
03/08/2021,41.323351925099999,13.044891357399999,"595",,"0"
09/08/2021,45.490335313899998,11.506889189800001,"61",,"0"
10/08/2021,44.993333333300001,7.455000000000000,,,"0"
13/08/2021,40.921655555599997,15.603855555599999,,,"0"
17/08/2021,42.190636801600000,14.541547307800000,"9",,"0"
03/07/2021,41.885936449500001,12.292356424799999,"1279",,"0"
27/07/2021,44.800474648500000,7.721884046900000,"15",,"0"
20/06/2008,46.149914906900001,9.556714945500000,"122",,"0"
14/10/2021,44.016576317000002,11.294058971100000,"184",,"0"
10/06/2021,42.747236999999998,10.379754900000000,"1396",,"0"
19/01/2022,41.728756949299999,12.477339953200000,"187",,"0"
13/05/2009,39.887512999999998,9.416785000000001,"4580",,"0"
15/06/2016,45.705814450500000,7.170153840100000,"104",,"0"
07/10/2014,39.061982063400002,9.010603836700000,"671",,"0"
13/06/2018,45.645132229200001,9.605575539200000,"110",,"0"
20/05/2022,46.122383111100000,11.120397555600000,,,"0"
,45.504992978099999,9.265671595900001,"138",,"0"
27/05/2022,45.467305000000003,10.161786166700001,"10",,"0"
31/05/2022,44.821558699999997,7.707144000000000,"2299",,"0"
31/05/2022,39.070833972199999,8.633005000000002,,,"0"
02/06/2022,38.109567300000002,13.352845400000000,"44",,"0"
02/06/2022,43.969143306900001,11.962266974200000,"87",,"0"
02/06/2022,43.983763333299997,12.073516666700000,"11",,"0"
31/05/2022,46.110011052099999,11.112290506900001,"90",,"0"
03/06/2022,38.332430000000002,16.161844500000001,"7",,"0"
03/06/2022,43.658512000000002,10.280307000000001,"488",,"0"
17/06/2018,41.702926691199998,12.420424014500000,"61",,"0"
04/06/2022,44.989156392300004,7.590569929000000,"131",,"0"
08/07/2021,44.993701083399998,7.438127696500000,"591",,"0"
04/06/2022,44.007872328099999,10.098000615800000,"213",,"0"
07/06/2022,40.752391815199999,13.872425079299999,"42",,"0"
06/06/2022,45.531164496300001,11.525523567600001,"31",,"0"
11/06/2022,44.790735990000002,10.601539620000000,"5",,"0"
05/06/2022,40.840329638100002,14.159328751300000,"188",,"0"
11/06/2022,40.840333442899997,14.159328751300000,"188",,"0"
12/06/2022,44.791986964099998,7.712357752000000,"1090",,"0"
14/06/2022,38.898466666700003,8.885395000000003,"4",,"0"
15/06/2022,42.195520305899997,14.630929369500000,"8",,"0"
14/06/2022,44.984126575799998,7.593627087800000,"417",,"0"
13/06/2022,40.737656000000001,14.572027000000000,,,"0"
15/06/2022,43.317366647599997,11.332456804800000,"10",,"0"
14/06/2022,43.930781000000003,10.864126972199999,,,"0"
15/06/2022,45.519971492899998,8.969277776800000,"184",,"0"
17/06/2022,41.961254248899998,14.942781868100001,"6",,"0"
12/06/2022,44.795053704600001,7.716707378600000,"418",,"0"
12/06/2022,44.795053704600001,7.716707378600000,"418",,"0"
12/06/2022,44.795053704600001,7.716707378600000,"418",,"0"
12/06/2022,44.795053704600001,7.716707378600000,"418",,"0"
12/06/2022,44.795053704600001,7.716707378600000,"418",,"0"
12/06/2022,44.795053704600001,7.716707378600000,"418",,"0"
06/06/2022,46.067657161000000,11.120047643800000,"183",,"0"
19/06/2022,42.793166482200000,10.181188622100001,"8",,"0"
,41.719894617900003,12.521010004000001,"1619",,"0"
20/06/2022,45.003849435200003,7.764615817700000,"27222",obscured,"1"
10/06/2022,43.957956659700002,10.167279057200000,"1600905",,"0"
22/06/2022,43.328980555599998,13.711352777800000,,,"0"
04/06/2022,45.075124902699997,7.039838576400000,"27222",obscured,"1"
23/06/2022,38.332316666700002,16.161858333300000,"4",,"0"
25/06/2022,43.710917999700001,11.164925999699999,,,"0"
26/06/2022,38.027116596200003,15.707135684800001,"536",,"0"
26/06/2022,41.024546139999998,14.846080150000001,"6",,"0"
27/06/2022,41.046334899400001,9.468957223000000,"7",,"0"
11/06/2022,46.037737359899999,8.256800111200000,"4",,"0"
30/06/2022,44.403982736700002,8.451908378800002,"27317",obscured,"1"
03/07/2022,44.815636666700001,9.899595000000000,"10",,"0"
17/06/2022,40.846763333299997,14.156144500000000,"5",,"0"
03/07/2022,41.412351373299998,13.622330566200000,"2218",,"0"
27/06/2022,43.830482799999999,11.202329300000001,,,"0"
03/07/2022,45.943000567600002,10.878563672300000,"1694",,"0"
05/07/2022,42.765536068599999,11.326348226300000,"1976",,"0"
06/07/2022,43.288021666699997,11.132444500000000,"20",,"0"
21/06/2022,45.512382000000002,10.524551972199999,,,"0"
13/07/2022,46.108565004600003,8.311821869299999,"97",,"0"
02/07/2022,44.563103559100000,8.495258667000000,"27317",obscured,"1"
02/07/2022,44.494069306100002,8.487342814100000,"27317",obscured,"1"
30/04/2022,40.804903650000000,14.175116180000000,"4",,"0"
15/07/2022,44.725555555600003,11.148888888900000,,,"0"
09/06/2022,43.840764464800003,11.076171274400000,"63005",,"0"
04/08/2022,44.985113888900003,7.603091666700000,,,"0"
18/08/2022,45.419207350000001,10.582598709999999,"3",,"0"
27/09/2022,38.412456499999998,16.372392638899999,,,"0"
17/06/2012,42.740130589200000,10.174657280800000,"31",,"0"
19/06/2019,43.824886666700003,10.284420000000001,"8",,"0"
22/06/2017,44.800342004199997,10.358768560400000,"27253",obscured,"1"
27/07/2015,44.831036571399999,10.217801493900000,"27253",obscured,"1"
08/08/2021,44.826408291100002,10.072347968800001,"186",,"0"
28/05/2022,40.665516666700000,14.429736111100000,,,"0"
27/06/2021,44.976484886800002,7.604938633700000,"1864",,"0"
20/08/2022,43.387969350699997,12.352395398500001,"2063",,"0"
16/06/2021,44.370448999099999,7.461013393500000,"10",,"0"
12/04/2023,45.691256614099999,12.258739708100000,"85",,"0"
12/05/2023,42.748603425299997,10.121204741300000,"6",,"0"
23/05/2023,46.614854999999999,11.190754999999999,"11",,"0"
27/05/2023,45.165291666700000,7.584088888900000,,,"0"
28/05/2023,45.131058484699999,10.384677966600000,"27222",obscured,"1"
01/06/2023,46.122428888899996,11.120345111100001,,,"0"
02/06/2023,42.761743600000003,10.306467800000000,"2400",,"0"
02/06/2023,45.079455000000003,10.121865000000000,,,"0"
30/06/2016,42.027667213000001,12.918985639600001,"24",,"0"
06/06/2023,44.988592254200000,7.598625719500000,"166",,"0"
07/06/2023,45.133341163799997,7.777717311000000,"27222",obscured,"1"
08/06/2023,44.345066000000003,12.277684000000001,"3190",,"0"
09/06/2023,43.819528333299999,10.270780000000000,"4",,"0"
09/06/2023,44.817014412399999,7.669252898700000,"27253",obscured,"1"
12/06/2023,40.445559299999999,15.008440999999999,"3599",,"0"
12/06/2023,44.981669784499999,7.639701359100000,"27253",obscured,"1"
25/05/2023,46.319916267200000,11.244761703100000,"27031",obscured,"1"
15/06/2023,38.253998072700000,15.722473226500000,"52",,"0"
16/06/2023,45.744490555600002,7.550948333300000,,,"0"
16/06/2023,46.054016666700001,10.959569999999999,"6",,"0"
14/06/2023,44.648965914900003,7.632019388200000,"27285",obscured,"1"
16/06/2023,44.663545863000003,7.763079808400000,"27285",obscured,"1"
16/06/2023,44.787656787099998,7.775401471200000,"27285",obscured,"1"
16/06/2023,44.703802094899999,7.746560437900000,"27285",obscured,"1"
16/06/2023,44.855971581500000,7.645308691300000,"27253",obscured,"1"
16/06/2023,44.745111219700000,7.747333625000000,"27285",obscured,"1"
16/06/2023,44.644977740100003,7.797322536000000,"27285",obscured,"1"
18/06/2023,45.517578826399998,11.284749778500000,"159",,"0"
16/06/2023,45.024870556300002,7.663169699000000,"87",,"0"
19/06/2023,42.786900310800000,10.335021726800001,"216",,"0"
19/06/2023,43.723203333299999,10.399645000000000,"3",,"0"
18/06/2023,45.199049773699997,10.743572026300001,"890",,"0"
14/06/2023,40.423638333299998,15.005744450000000,,,"0"
19/06/2023,40.550918579099999,14.243695259100001,"81",,"0"
19/06/2023,44.618610573200002,7.610540131600000,"27285",obscured,"1"
19/06/2023,44.679064417500001,7.610950804100000,"27285",obscured,"1"
21/06/2023,43.220347064400002,13.417665101600001,"173",,"0"
22/06/2023,41.292968996299997,13.013163674199999,"456",,"0"
24/06/2023,44.795053629000002,7.716707289200000,"418",,"0"
24/06/2023,44.795053629000002,7.716707289200000,"418",,"0"
24/06/2023,44.791765683999998,7.713993899500000,"595",,"0"
22/06/2023,42.794723651299996,10.426465042300000,"4",,"0"
27/06/2023,41.135472222200001,9.505455555599999,,,"0"
27/06/2023,45.518990950099997,8.969395458699999,"184",,"0"
28/06/2023,45.157707294500000,7.566780522500000,"1002",,"0"
28/06/2023,45.498859930000002,11.441990909999999,"9",,"0"
17/06/2023,43.832148390900002,11.147124879100000,"6",,"0"
28/06/2023,41.286025604999999,13.255493380100001,"111",,"0"
30/06/2023,41.624516666700003,12.456491666700000,"4",,"0"
02/07/2023,42.748667034299999,10.123403146899999,"10",,"0"
03/07/2023,40.321002777799997,9.328544444400000,,,"0"
03/07/2023,40.638901893000003,15.639408040399999,"8",,"0"
04/07/2023,38.934261305600003,16.413022972200000,,,"0"
05/07/2023,42.923722677900003,11.543198266299999,"38",,"0"
11/06/2023,45.088460059900001,10.385079374900000,"27222",obscured,"1"
05/07/2023,42.923764991600002,11.543141473100000,"4",,"0"
08/07/2023,42.100581240099999,12.158983536099999,"850",,"0"
08/07/2023,45.752672474400001,13.711768649500000,"8",,"0"
14/07/2023,44.501742753400002,8.542789405900002,"27317",obscured,"1"
13/07/2023,42.787051777099997,10.183372907600001,"9",,"0"
16/07/2023,43.833550199699999,10.435265799700000,,,"0"
17/07/2023,40.024310723500001,9.170759283000001,"1040",,"0"
17/07/2023,44.815679484199997,7.704244229500000,"27253",obscured,"1"
17/07/2023,44.842668366799998,7.776081248200000,"27253",obscured,"1"
17/07/2023,44.939168682700000,7.707654530000000,"27253",obscured,"1"
17/07/2023,44.917816315700001,7.762433491600000,"27253",obscured,"1"
17/07/2023,44.603289723600000,7.759702943200000,"27285",obscured,"1"
17/07/2023,44.714549704400000,7.616690738800000,"27285",obscured,"1"
17/07/2023,44.683833137400001,7.788441037800000,"27285",obscured,"1"
23/07/2023,41.035168147500002,9.094263939199999,"4",,"0"
23/07/2023,43.100654602100001,10.558676719699999,"137",,"0"
23/07/2023,41.036044500000003,9.094258333300001,"4",,"0"
24/07/2023,42.080230499999999,11.860078333300001,"64",,"0"
23/07/2023,43.722931274600001,12.951314213600000,"27443",obscured,"1"
18/07/2023,42.721878333299998,10.379063333300000,"4",,"0"
24/07/2023,44.779615674500000,7.684349099800000,"27285",obscured,"1"
26/07/2023,44.946029887199998,7.645267416500000,"27253",obscured,"1"
26/07/2023,44.602160605400002,7.663124163500000,"27285",obscured,"1"
26/07/2023,44.609187427199998,7.739518775300000,"27285",obscured,"1"
23/07/2023,45.475000999999999,11.237982000000001,,,"0"
28/07/2023,44.635176538499998,7.624591906000000,"27285",obscured,"1"
17/07/2023,44.714966630900001,7.609025569600000,"27285",obscured,"1"
17/07/2023,44.744618075500000,7.764847933300000,"27285",obscured,"1"
30/07/2023,44.509000000000000,9.744116666700000,"90",,"0"
31/07/2023,45.168128333299997,7.549820000000000,"32",,"0"
31/07/2023,44.794967751999998,7.787826610000000,"27285",obscured,"1"
01/08/2023,44.536280555600001,12.234050000000000,,,"0"
03/08/2023,43.616276364800001,11.524635823500001,"11",,"0"
04/08/2023,40.668482611800002,15.918726772099999,"416",,"0"
03/08/2023,42.926880002799997,13.284625000000000,"20",,"0"
05/08/2023,44.532344805599998,8.530049305600000,,,"0"
10/08/2023,40.075538635000001,15.629954338099999,,,"0"
10/08/2023,45.933964995700002,13.626933669100000,"351",,"0"
14/08/2023,40.895801819100001,15.249400287900000,"145",,"0"
10/08/2023,38.475337687600003,16.396376252300001,"2",,"0"
04/08/2023,44.699533822399999,7.684949086200000,"27285",obscured,"1"
25/06/2015,43.539058333299998,12.037233333300000,,,"0"
19/08/2023,45.914946000000000,12.102465972199999,,,"0"
01/09/2023,45.729390556600002,13.717461181099999,"165",,"0"
21/06/2022,45.976128963000001,8.418944901100000,"61",,"0"
16/09/2023,44.474051743099999,11.284288689500000,"50",,"0"
09/08/2023,42.791673823899998,13.094733506400001,"1565",,"0"
10/07/2018,45.144008038800003,7.113481526800000,"13",,"0"
11/06/2023,43.302632094600000,13.714131432200000,"23",,"0"
30/05/2019,44.990641064499997,7.595271481400000,"80",,"0"
02/10/2023,44.542054962999998,8.502405099600002,"9",,"0"
02/10/2023,44.542942510000003,8.503003079999999,"4",,"0"
12/10/2023,39.851826229099998,9.438208295000001,"10",,"0"
13/10/2023,40.212591681600003,9.488351522000000,"8",,"0"
18/10/2023,45.183636000000000,7.534238000000000,,,"0"
15/07/2021,45.591464141499998,8.986960910300002,"131",,"0"
14/05/2022,39.215389445100001,9.483768138900000,"1743",,"0"
23/06/2023,44.930670617399997,7.623550313200000,"27253",obscured,"1"
23/06/2023,44.968706298100003,7.682354872300000,"27253",obscured,"1"
23/06/2023,44.839222678699997,7.782243653800000,"27253",obscured,"1"
26/06/2023,44.964412034900000,7.639338624000000,"27253",obscured,"1"
26/06/2023,44.837384625399999,7.655861853500000,"27253",obscured,"1"
28/06/2023,44.950129865100003,7.748972006900000,"27253",obscured,"1"
17/07/2020,45.741266905700002,7.470410428900000,"162",,"0"
28/06/2023,44.604308734200004,7.625162021500000,"27285",obscured,"1"
28/06/2023,44.789923890200001,7.633555474900000,"27285",obscured,"1"
28/06/2023,44.784394782800000,7.782722534600000,"27285",obscured,"1"
28/06/2023,44.740116987900002,7.681035866800000,"27285",obscured,"1"
28/06/2023,44.774179471799997,7.741371881700000,"27285",obscured,"1"
30/06/2023,44.992394175599998,7.786353330800000,"27253",obscured,"1"
30/06/2023,44.943769746900003,7.624830402400000,"27253",obscured,"1"
03/07/2023,44.744325993399997,7.760323637300000,"27285",obscured,"1"
03/07/2023,44.797891093600001,7.632518954900000,"27285",obscured,"1"
05/07/2023,44.964317220100000,7.785599180800000,"27253",obscured,"1"
05/07/2023,44.831473303800003,7.642886005400000,"27253",obscured,"1"
05/07/2023,44.637273805400000,7.709611191400000,"27285",obscured,"1"
05/07/2023,44.629192267100002,7.766441506600000,"27285",obscured,"1"
05/07/2023,44.759931960599999,7.611515574700000,"27285",obscured,"1"
07/07/2023,44.649369545699997,7.758581254300000,"27285",obscured,"1"
