latitudine,longitudin,anno,nome
43.730213999999997,11.022150000000000,"2014",Cerambyx cerdo
44.616639999999997,7.743136000000000,"2025",Cerambyx cerdo
44.981921000000000,10.239834999999999,"2025",Cerambyx cerdo
44.603020999999998,7.685881000000000,"2025",Cerambyx cerdo
44.790199999999999,7.791986000000000,"2025",Cerambyx cerdo
44.942374000000001,7.639313000000000,"2025",Cerambyx cerdo
44.636875000000003,7.740832000000000,"2025",Cerambyx cerdo
44.614322999999999,7.690321000000000,"2025",Cerambyx cerdo
44.658199000000003,7.636508000000000,"2025",Cerambyx cerdo
43.990507999999998,11.358076000000001,"2025",Cerambyx cerdo
44.580238999999999,9.882725000000001,"2024",Cerambyx cerdo
44.675821999999997,7.712151000000000,"2025",Cerambyx cerdo
44.625532999999997,7.618255000000000,"2025",Cerambyx cerdo
44.789504999999998,7.639452000000000,"2025",Cerambyx cerdo
44.934446999999999,7.615025000000000,"2025",Cerambyx cerdo
42.781731000000001,10.243786999999999,"2025",Cerambyx cerdo
41.766432000000002,14.618748000000000,"2025",Cerambyx cerdo
38.054161000000001,14.900808000000000,"2025",Cerambyx cerdo
37.996330000000000,14.806492000000000,"2025",Cerambyx cerdo
44.714582999999998,7.654125000000000,"2025",Cerambyx cerdo
41.767516999999998,14.619104000000000,"2025",Cerambyx cerdo
44.665835000000001,7.702405000000000,"2025",Cerambyx cerdo
44.668236000000000,7.732478000000000,"2025",Cerambyx cerdo
42.794786000000002,10.429667000000000,"2025",Cerambyx cerdo
44.664855000000003,7.765387000000000,"2025",Cerambyx cerdo
44.686028999999998,7.662416000000000,"2025",Cerambyx cerdo
44.949590999999998,7.676201000000000,"2025",Cerambyx cerdo
44.784362999999999,7.666996000000000,"2025",Cerambyx cerdo
44.656775000000003,7.714397000000000,"2025",Cerambyx cerdo
44.779207999999997,7.640677000000000,"2025",Cerambyx cerdo
44.854680000000002,7.606423000000000,"2025",Cerambyx cerdo
45.568398000000002,11.466730999999999,"2025",Cerambyx cerdo
45.522162999999999,8.974523000000000,"2025",Cerambyx cerdo
40.761209000000001,16.390808000000000,"2025",Cerambyx cerdo
42.950491999999997,10.672158000000000,"2025",Cerambyx cerdo
44.938344000000001,7.608444000000000,"2025",Cerambyx cerdo
44.682389999999998,7.622586000000000,"2025",Cerambyx cerdo
45.447668000000000,7.867514000000000,"2025",Cerambyx cerdo
44.710318000000001,7.726683000000000,"2025",Cerambyx cerdo
45.174124999999997,7.584667000000000,"2025",Cerambyx cerdo
44.902017000000001,7.722544000000000,"2025",Cerambyx cerdo
44.924362000000002,7.784512000000000,"2025",Cerambyx cerdo
46.332217999999997,11.287179000000000,"2025",Cerambyx cerdo
44.648515000000003,7.630250000000000,"2025",Cerambyx cerdo
40.866284999999998,14.253038000000000,"2023",Cerambyx cerdo
44.710002000000003,7.600269000000000,"2025",Cerambyx cerdo
44.769595000000002,7.798499000000000,"2025",Cerambyx cerdo
44.815845000000003,7.714097000000000,"2025",Cerambyx cerdo
42.119422000000000,12.116111000000000,"2025",Cerambyx cerdo
43.598061999999999,10.616597000000001,"2025",Cerambyx cerdo
44.219741999999997,12.049904000000000,"1923",Cerambyx cerdo
44.389885999999997,7.543294000000000,,Cerambyx cerdo
43.821368999999997,11.219450999999999,"1899",Cerambyx cerdo
45.076110000000000,7.679839000000000,"1879",Cerambyx cerdo
43.463346999999999,11.137966000000000,,Cerambyx cerdo
44.675462000000003,8.465750000000000,"1895",Cerambyx cerdo
42.790258000000001,10.167996000000000,"1982",Cerambyx cerdo
39.574767999999999,16.634906000000001,"1904",Cerambyx cerdo
43.460286000000004,12.119443000000000,"1924",Cerambyx cerdo
43.670226999999997,12.040549000000000,"1848",Cerambyx cerdo
42.766207999999999,11.176807999999999,"1907",Cerambyx cerdo
45.076110000000000,7.679839000000000,"1879",Cerambyx cerdo
42.766207999999999,11.176807999999999,"1906",Cerambyx cerdo
42.766207999999999,11.176807999999999,"1907",Cerambyx cerdo
42.766207999999999,11.176807999999999,"1906",Cerambyx cerdo
45.076110000000000,7.679839000000000,"1879",Cerambyx cerdo
43.781033999999998,11.250800000000000,"1900",Cerambyx cerdo
43.897174999999997,8.044839000000000,,Cerambyx cerdo
43.874710000000000,8.007757000000000,,Cerambyx cerdo
43.874710000000000,8.007757000000000,,Cerambyx cerdo
45.699567999999999,9.665067000000001,"1879",Cerambyx cerdo
45.699567999999999,9.665067000000001,"1879",Cerambyx cerdo
45.699567999999999,9.665067000000001,"1879",Cerambyx cerdo
45.136406999999998,8.451572000000002,,Cerambyx cerdo
45.136406999999998,8.451572000000002,,Cerambyx cerdo
43.830072999999999,12.528969999999999,,Cerambyx cerdo
43.897174999999997,8.044839000000000,,Cerambyx cerdo
44.902144000000000,8.208443000000003,,Cerambyx cerdo
45.076110000000000,7.679839000000000,"1879",Cerambyx cerdo
45.076110000000000,7.679839000000000,"1879",Cerambyx cerdo
44.902144000000000,8.208443000000003,,Cerambyx cerdo
43.897174999999997,8.044839000000000,,Cerambyx cerdo
44.389885999999997,7.543294000000000,,Cerambyx cerdo
44.902144000000000,8.208443000000003,,Cerambyx cerdo
43.697643999999997,11.814200000000000,"1994",Cerambyx cerdo
44.902144000000000,8.208443000000003,,Cerambyx cerdo
45.076110000000000,7.679839000000000,"1879",Cerambyx cerdo
42.772499000000003,10.270552000000000,"1978",Cerambyx cerdo
42.854604999999999,13.567496999999999,,Cerambyx cerdo
42.854604999999999,13.567496999999999,,Cerambyx cerdo
37.966545000000004,15.986300999999999,,Cerambyx cerdo
